evidence_id,pmid,article_identity,pmid_identity,pmcid_identity,doi_identity,duplicate_exclusion,supplement_not_article,version_classification,editorial_relation_checked,retraction_checked,design_classification,tool_compatibility,appraisal_completeness,denominator_traceability,result_traceability,table_figure_interpretation,primary_secondary_outcome_boundary,adjusted_unadjusted_boundary,causal_boundary,geographic_transferability_boundary,exact_claim_location,human_gate_fail_closed,control_item_excluded,retracted_record_excluded,record_gate,finding,overall
EV-0103,42093038,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The interviews do not establish that expanding police-medic scope improves survival, safety, response time or clinical outcomes.",PASS
EV-1301,21761154,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"This report alone does not prove that FOCUS caused mental-health improvement, is superior to alternatives, or would work similarly in Brazilian security organizations.",PASS
EV-1039,29373993,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The protocol does not establish that BBTI is non-inferior, improves access, or produces clinical or implementation benefit.",PASS
EV-0796,33824854,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,The study does not prove that any single intervention component caused the improvement or that the same effect would occur in Brazilian tactical/public-safety systems.,PASS
EV-0632,36689353,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The study does not directly establish mortality, shock outcomes, battlefield effectiveness or patient-level superiority of ketamine/fentanyl in actual hemorrhage.",PASS
EV-0458,38943537,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,The study does not show that the assessed capacities reduce sexual assault incidence or that GTO support will produce improved outcomes.,PASS
EV-0376,39727243,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,The review does not prove that any single implementation strategy causes improved violence outcomes or transfers directly to Brazilian public safety.,PASS
EV-0880,32414356,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,The review does not demonstrate that embedding drowning interventions in these programs reduces drowning or will be effective in another jurisdiction.,PASS
EV-0862,32884581,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The article does not establish direct applicability to police readiness, nor a causal effect of any single intervention on mental-health or operational outcomes.",PASS
EV-0813,33588821,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,HUMAN_REVIEW_REQUIRED,"The review does not establish that a specific training package improves police performance, clinical outcomes or operational readiness.",PASS
