evidence_id,stage,source,path_external,sha256,timestamp,tool,transformation
EV-0629,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-03/raw/pubmed/36747268.xml,556e51abb7b9363f04d343abc478982f3e7d3b225c30284cefd5783a7a66e460,2026-09-17,fetch_full_text_pilot03.py,none
EV-0629,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-03/raw/pmc/PMC9902242.xml,6abe3c152aaa713c55bc81048f597da49307c7bc323f02f84aced1fa410c43e8,2026-09-17,fetch_full_text_pilot03.py,"parsed metadata, sections and tables"
EV-0629,EXTRACTION_APPRAISAL,audited lawful full text,,,2026-09-17,build_full_text_pilot03.py,AI-assisted provisional extraction and domain appraisal; human fields unchanged
EV-0592,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-03/raw/pubmed/37326779.xml,d8d609e5cdc03a42c787721edfa7378a0becc0cedf8f42e11990ddb0b9e63087,2026-09-17,fetch_full_text_pilot03.py,none
EV-0592,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-03/raw/pmc/PMC10689544.xml,8bd08ee17add125757534e27fe0a87d1f7cddb13d82a9a1cbdb9f8efa1c4a373,2026-09-17,fetch_full_text_pilot03.py,"parsed metadata, sections and tables"
EV-0592,EXTRACTION_APPRAISAL,audited lawful full text,,,2026-09-17,build_full_text_pilot03.py,AI-assisted provisional extraction and domain appraisal; human fields unchanged
EV-0515,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-03/raw/pubmed/38233933.xml,d9883d9e5df0c7760bebfced033cf203f7b0cf6a47a73003958a01752bce9efc,2026-09-17,fetch_full_text_pilot03.py,none
EV-0515,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-03/raw/pmc/PMC10795311.xml,6ed62d667b54637c70d6852befd2c1e9f8b043ec5d230d1987989ae1c1b47624,2026-09-17,fetch_full_text_pilot03.py,"parsed metadata, sections and tables"
EV-0515,EXTRACTION_APPRAISAL,audited lawful full text,,,2026-09-17,build_full_text_pilot03.py,AI-assisted provisional extraction and domain appraisal; human fields unchanged
EV-0439,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-03/raw/pubmed/39119394.xml,8f265e053efc7002f7f6c56e55cc1c5409412a9774f81dfac3a1c478505f9182,2026-09-17,fetch_full_text_pilot03.py,none
EV-0439,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-03/raw/pmc/PMC11307241.xml,cad84baeb4d3f0c02d8c2c116d31df8c62a7a5cb211dddcff9cb5ffa5afb5de0,2026-09-17,fetch_full_text_pilot03.py,"parsed metadata, sections and tables"
EV-0439,EXTRACTION_APPRAISAL,audited lawful full text,,,2026-09-17,build_full_text_pilot03.py,AI-assisted provisional extraction and domain appraisal; human fields unchanged
EV-0405,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-03/raw/pubmed/39425094.xml,dea3e7719e6a322e9fd4dcb8ac12b44381d74d336ec8910c81dc9145e63d2690,2026-09-17,fetch_full_text_pilot03.py,none
EV-0405,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-03/raw/pmc/PMC11490149.xml,9aa2ec2cd769804d78fd14a987e18db9c95061f7c89ecbb1bcc2a7a6f223e3f4,2026-09-17,fetch_full_text_pilot03.py,"parsed metadata, sections and tables"
EV-0405,EXTRACTION_APPRAISAL,audited lawful full text,,,2026-09-17,build_full_text_pilot03.py,AI-assisted provisional extraction and domain appraisal; human fields unchanged
EV-0335,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-03/raw/pubmed/40156033.xml,a4182a9ee4e5be4ada88b24a2c04a68a3bde879beac66aed3fdd36881d8e656a,2026-09-17,fetch_full_text_pilot03.py,none
EV-0335,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-03/raw/pmc/PMC11951663.xml,e8566a7e56525099d910e32cd143fe8b63b741d3b5804148f8fc13a0f2534728,2026-09-17,fetch_full_text_pilot03.py,"parsed metadata, sections and tables"
EV-0335,EXTRACTION_APPRAISAL,audited lawful full text,,,2026-09-17,build_full_text_pilot03.py,AI-assisted provisional extraction and domain appraisal; human fields unchanged
EV-0316,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-03/raw/pubmed/40406195.xml,a560238777817392f047b60183d8caf887c27886f4fc3a1c81844bee10d33a19,2026-09-17,fetch_full_text_pilot03.py,none
