evidence_id,tool,tool_version,appraisal_type,component,criterion_code,domain,judgment_ai_provisional,basis,source_url,human_confirmed
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q1,methodology/philosophical perspective congruity,UNCLEAR,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q2,methodology/research question congruity,YES,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q3,methodology/data collection congruity,YES,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q4,methodology/data representation and analysis congruity,YES,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q5,methodology/interpretation congruity,YES,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q6,researcher culturally or theoretically located,UNCLEAR,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q7,researcher influence addressed,UNCLEAR,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q8,participants and voices adequately represented,YES,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q9,ethical conduct and approval,YES,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0629,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q10,conclusions flow from analysis,YES,Study design and procedures P1; Study setting and participants P1; Data collection and analysis P1; Results P1; Table 2; Table 3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
