evidence_id,stage,source,path_external,sha256,timestamp,tool,transformation
EV-0367,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-02/raw/pubmed/39808097.xml,12ef9351a391bb4d3097a02f025ec5e942492ef7c54b604e7e3786b93ad4cea6,2026-09-17,fetch_full_text_pilot02.py,none
EV-0367,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-02/raw/pmc/PMC12064357.xml,91b3ad1ce75ecbbc2d7e37f39e523486b5a2ed65961866946704d087f4c2054e,2026-09-17,fetch_full_text_pilot02.py,"parsed metadata, sections and tables"
EV-0367,EXTRACTION_APPRAISAL,audited JATS full text,,,2026-09-17,build_full_text_pilot02.py,AI-assisted provisional extraction and design-specific appraisal; human fields unchanged
EV-0176,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-02/raw/pubmed/41492854.xml,c842c7676bf73ff20cce2e2d4b20ab16c6b741d5ef1320e2f2f1e8a6454f129d,2026-09-17,fetch_full_text_pilot02.py,none
EV-0176,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-02/raw/pmc/PMC12771649.xml,c8365b9407cb1f82e6d19f96854d6440b637e6eb71c96bb7fc6005a7909ce24b,2026-09-17,fetch_full_text_pilot02.py,"parsed metadata, sections and tables"
EV-0176,EXTRACTION_APPRAISAL,audited JATS full text,,,2026-09-17,build_full_text_pilot02.py,AI-assisted provisional extraction and design-specific appraisal; human fields unchanged
EV-0171,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-02/raw/pubmed/41520119.xml,e9d4b3263346edb339588a2f681cda1787f79d7c7d069247bd7c65dbc5277a8a,2026-09-17,fetch_full_text_pilot02.py,none
EV-0171,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-02/raw/pmc/PMC12882353.xml,9eb547efafc171704c5c0c6cf9e54c23b472b6d8111312ae6dc06172681369a6,2026-09-17,fetch_full_text_pilot02.py,"parsed metadata, sections and tables"
EV-0171,EXTRACTION_APPRAISAL,audited JATS full text,,,2026-09-17,build_full_text_pilot02.py,AI-assisted provisional extraction and design-specific appraisal; human fields unchanged
EV-0160,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-02/raw/pubmed/41626406.xml,92df46b9677ddbd3a9a4eaccfc9b0640dd9bdd6a648b0016718c10355ab2f84f,2026-09-17,fetch_full_text_pilot02.py,none
EV-0160,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-02/raw/pmc/PMC12852583.xml,cdb7212989a4512d943a0b13269fc8fa62f392520c39f6523bf06819f0da639a,2026-09-17,fetch_full_text_pilot02.py,"parsed metadata, sections and tables"
EV-0160,EXTRACTION_APPRAISAL,audited JATS full text,,,2026-09-17,build_full_text_pilot02.py,AI-assisted provisional extraction and design-specific appraisal; human fields unchanged
EV-0157,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-02/raw/pubmed/41673910.xml,124e378b5a5ff361cf2397fda82441c48825114c77be2a22a167faca7d2f9d2c,2026-09-17,fetch_full_text_pilot02.py,none
EV-0157,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-02/raw/pmc/PMC12998156.xml,639d524b801df903f43112c363f506a0f775726cc6a84d5fd9a7fc1b79ebb3d4,2026-09-17,fetch_full_text_pilot02.py,"parsed metadata, sections and tables"
EV-0157,EXTRACTION_APPRAISAL,audited JATS full text,,,2026-09-17,build_full_text_pilot02.py,AI-assisted provisional extraction and design-specific appraisal; human fields unchanged
EV-0091,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-02/raw/pubmed/42196761.xml,f91070c69089b9772f53f0cde8577cd61a9d33cfd80cbb5fae35320d08710370,2026-09-17,fetch_full_text_pilot02.py,none
EV-0091,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-02/raw/pmc/PMC13206323.xml,85c07a49204920a750326958afca8f8f9d908c944f28db9ad5d0b9cb21620be5,2026-09-17,fetch_full_text_pilot02.py,"parsed metadata, sections and tables"
EV-0091,EXTRACTION_APPRAISAL,audited JATS full text,,,2026-09-17,build_full_text_pilot02.py,AI-assisted provisional extraction and design-specific appraisal; human fields unchanged
EV-1328,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-02/raw/pubmed/19947877.xml,31b8df3097d67a0ae5fcdb4b3a9dc2b0f64514c46642ae63203657add334eb42,2026-09-17,fetch_full_text_pilot02.py,none
EV-1328,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-02/raw/pmc/PMC3413284.xml,213e0b9227fc7f2b2604fb4e3e0b2621c2f8314ac8aa367a4b4dfb96fd7d01fb,2026-09-17,fetch_full_text_pilot02.py,"parsed metadata, sections and tables"
EV-1328,EXTRACTION_APPRAISAL,audited JATS full text,,,2026-09-17,build_full_text_pilot02.py,AI-assisted provisional extraction and design-specific appraisal; human fields unchanged
EV-0896,RAW_PUBMED,NCBI Entrez EFetch,external://full-text/2026-09-17-pilot-02/raw/pubmed/32191195.xml,e472070094bad6544e1b4648ed35c377a10a55e275da7a0b9311e6dd39e96fe3,2026-09-17,fetch_full_text_pilot02.py,none
EV-0896,FULL_TEXT,NCBI PMC EFetch JATS XML,external://full-text/2026-09-17-pilot-02/raw/pmc/PMC7081854.xml,0fd02e1d1f7178cf4682ec1915146b0ea17da51e7c3af69bec19826c4538c3f8,2026-09-17,fetch_full_text_pilot02.py,"parsed metadata, sections and tables"
EV-0896,EXTRACTION_APPRAISAL,audited JATS full text,,,2026-09-17,build_full_text_pilot02.py,AI-assisted provisional extraction and design-specific appraisal; human fields unchanged
